Date,Predicted_Usage
2026-01-01,4070618.10734239
2026-02-01,4129795.038037999
2026-03-01,3583851.951855853
2026-04-01,3300131.2358335075
2026-05-01,3218250.3094573095
2026-06-01,3664040.0158503163
2026-07-01,4512857.072247956
2026-08-01,5160763.171814445
2026-09-01,4788643.292577765
2026-10-01,3587386.1337274895
2026-11-01,3185004.4257600335
2026-12-01,3554931.848460095
